Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date,Symbol
1980-12-12 00:00:00-05:00,0.0994495078921318,0.09988187306116328,0.0994495078921318,0.0994495078921318,469033600,0.0,0.0,1980-12-12,AAPL
1980-12-15 00:00:00-05:00,0.09469351964760243,0.09469351964760243,0.09426115453243256,0.09426115453243256,175884800,0.0,0.0,1980-12-15,AAPL
1980-12-16 00:00:00-05:00,0.08777496443446663,0.08777496443446663,0.08734260499477386,0.08734260499477386,105728000,0.0,0.0,1980-12-16,AAPL
1980-12-17 00:00:00-05:00,0.08950437605381012,0.0899367410844859,0.08950437605381012,0.08950437605381012,86441600,0.0,0.0,1980-12-17,AAPL
1980-12-18 00:00:00-05:00,0.0920993760228157,0.09253173550460583,0.0920993760228157,0.0920993760228157,73449600,0.0,0.0,1980-12-18,AAPL
1980-12-19 00:00:00-05:00,0.09772006422281265,0.09815242941600535,0.09772006422281265,0.09772006422281265,48630400,0.0,0.0,1980-12-19,AAPL
1980-12-22 00:00:00-05:00,0.10247603803873062,0.10290917673228425,0.10247603803873062,0.10247603803873062,37363200,0.0,0.0,1980-12-22,AAPL
1980-12-23 00:00:00-05:00,0.10680046677589417,0.10723283204050174,0.10680046677589417,0.10680046677589417,46950400,0.0,0.0,1980-12-23,AAPL
1980-12-24 00:00:00-05:00,0.11242113262414932,0.11285349770433069,0.11242113262414932,0.11242113262414932,48003200,0.0,0.0,1980-12-24,AAPL
1980-12-26 00:00:00-05:00,0.12279865145683289,0.1232310167222117,0.12279865145683289,0.12279865145683289,55574400,0.0,0.0,1980-12-26,AAPL
1980-12-29 00:00:00-05:00,0.12452809512615202,0.1249604603712329,0.12452809512615202,0.12452809512615204,93161600,0.0,0.0,1980-12-29,AAPL
1980-12-30 00:00:00-05:00,0.12193389625966919,0.12193389625966919,0.12150154262781142,0.12150154262781143,68880000,0.0,0.0,1980-12-30,AAPL
1980-12-31 00:00:00-05:00,0.11847501302948034,0.11847501302948034,0.11804264783859253,0.11804264783859253,35750400,0.0,0.0,1980-12-31,AAPL
1981-01-02 00:00:00-05:00,0.1193397119641304,0.12020444220170375,0.1193397119641304,0.1193397119641304,21660800,0.0,0.0,1981-01-02,AAPL
1981-01-05 00:00:00-05:00,0.1171778850843762,0.1171778850843762,0.11674553155899048,0.11674553155899048,35728000,0.0,0.0,1981-01-05,AAPL
1981-01-06 00:00:00-05:00,0.11198872354573902,0.11198872354573902,0.11155635863542557,0.11155635863542557,45158400,0.0,0.0,1981-01-06,AAPL
1981-01-07 00:00:00-05:00,0.10723283204050174,0.10723283204050174,0.10680046677589417,0.10680046677589417,55686400,0.0,0.0,1981-01-07,AAPL
1981-01-08 00:00:00-05:00,0.1050709747546823,0.1050709747546823,0.10463862121105194,0.10463862121105194,39827200,0.0,0.0,1981-01-08,AAPL
1981-01-09 00:00:00-05:00,0.11025934666395187,0.11069171185351787,0.11025934666395187,0.11025934666395187,21504000,0.0,0.0,1981-01-09,AAPL
1981-01-12 00:00:00-05:00,0.11025935114811553,0.11025935114811553,0.1093946322798729,0.1093946322798729,23699200,0.0,0.0,1981-01-12,AAPL
1981-01-13 00:00:00-05:00,0.10593574555408528,0.10593574555408528,0.10550338029861452,0.1055033802986145,23049600,0.0,0.0,1981-01-13,AAPL
1981-01-14 00:00:00-05:00,0.10593573749065399,0.10636810271321474,0.10593573749065399,0.10593573749065399,14291200,0.0,0.0,1981-01-14,AAPL
1981-01-15 00:00:00-05:00,0.10809759795665741,0.10896231722288915,0.10809759795665741,0.10809759795665741,14067200,0.0,0.0,1981-01-15,AAPL
1981-01-16 00:00:00-05:00,0.10766515179688489,0.10766515179688489,0.10723278671503067,0.10723278671503067,13395200,0.0,0.0,1981-01-16,AAPL
1981-01-19 00:00:00-05:00,0.11371821165084839,0.11415057671328246,0.11371821165084839,0.11371821165084839,41574400,0.0,0.0,1981-01-19,AAPL
1981-01-20 00:00:00-05:00,0.11069171185351787,0.11069171185351787,0.11025934666395187,0.11025934666395187,30083200,0.0,0.0,1981-01-20,AAPL
1981-01-21 00:00:00-05:00,0.11242113262414932,0.11328585123845816,0.11242113262414932,0.11242113262414932,15904000,0.0,0.0,1981-01-21,AAPL
1981-01-22 00:00:00-05:00,0.11371821165084839,0.11458294177571654,0.11371821165084839,0.11371821165084839,35548800,0.0,0.0,1981-01-22,AAPL
1981-01-23 00:00:00-05:00,0.11371824946734647,0.11415061467356168,0.11328588426113129,0.11328588426113129,11222400,0.0,0.0,1981-01-23,AAPL
1981-01-26 00:00:00-05:00,0.11198872354573902,0.11198872354573902,0.11155635863542557,0.11155635863542557,24640000,0.0,0.0,1981-01-26,AAPL
1981-01-27 00:00:00-05:00,0.11155641511780601,0.11155641511780601,0.11069169640541078,0.11069169640541077,23699200,0.0,0.0,1981-01-27,AAPL
1981-01-28 00:00:00-05:00,0.10766515179688489,0.10766515179688489,0.10723278671503067,0.10723278671503067,28156800,0.0,0.0,1981-01-28,AAPL
1981-01-29 00:00:00-05:00,0.10377389237848753,0.10377389237848753,0.10334152728319168,0.10334152728319168,43904000,0.0,0.0,1981-01-29,AAPL
1981-01-30 00:00:00-05:00,0.09858479460919807,0.09858479460919807,0.09772006422281265,0.09772006422281265,46188800,0.0,0.0,1981-01-30,AAPL
1981-02-02 00:00:00-05:00,0.09253173550460583,0.09253173550460583,0.0920993760228157,0.0920993760228157,23766400,0.0,0.0,1981-02-02,AAPL
1981-02-03 00:00:00-05:00,0.09555824846029282,0.09599060782214146,0.09555824846029282,0.09555824846029282,19152000,0.0,0.0,1981-02-03,AAPL
1981-02-04 00:00:00-05:00,0.09901716560125351,0.09944951927370975,0.09901716560125351,0.09901716560125351,27865600,0.0,0.0,1981-02-04,AAPL
1981-02-05 00:00:00-05:00,0.09901716560125351,0.0998818844922236,0.09901716560125351,0.09901716560125351,7929600,0.0,0.0,1981-02-05,AAPL
1981-02-06 00:00:00-05:00,0.0994495078921318,0.09988187306116328,0.0994495078921318,0.0994495078921318,13865600,0.0,0.0,1981-02-06,AAPL
1981-02-09 00:00:00-05:00,0.0951258789897449,0.0951258789897449,0.09426115453243256,0.09426115453243256,16755200,0.0,0.0,1981-02-09,AAPL
1981-02-10 00:00:00-05:00,0.09426115453243256,0.09469351964760243,0.09426115453243256,0.09426115453243256,18345600,0.0,0.0,1981-02-10,AAPL
1981-02-11 00:00:00-05:00,0.09166699122603222,0.09166699122603222,0.09123463183641434,0.09123463183641434,13843200,0.0,0.0,1981-02-11,AAPL
1981-02-12 00:00:00-05:00,0.0908022439791986,0.0908022439791986,0.09036910533905029,0.09036910533905029,14560000,0.0,0.0,1981-02-12,AAPL
1981-02-13 00:00:00-05:00,0.08907208907232943,0.08907208907232943,0.08820736408233643,0.08820736408233643,11155200,0.0,0.0,1981-02-13,AAPL
1981-02-17 00:00:00-05:00,0.09036910533905029,0.0908022439791986,0.09036910533905029,0.09036910533905029,12275200,0.0,0.0,1981-02-17,AAPL
1981-02-18 00:00:00-05:00,0.09426115453243256,0.0951258789897449,0.09426115453243256,0.09426115453243256,19241600,0.0,0.0,1981-02-18,AAPL
1981-02-19 00:00:00-05:00,0.08907205669640937,0.08907205669640937,0.08863969147205353,0.08863969147205353,22310400,0.0,0.0,1981-02-19,AAPL
1981-02-20 00:00:00-05:00,0.0843160829269517,0.0843160829269517,0.08388371765613556,0.08388371765613556,24371200,0.0,0.0,1981-02-20,AAPL
1981-02-23 00:00:00-05:00,0.08518079668283463,0.08561316192705487,0.08518079668283463,0.08518079668283463,14112000,0.0,0.0,1981-02-23,AAPL
1981-02-24 00:00:00-05:00,0.08301897623017458,0.08301897623017458,0.08215425163507462,0.08215425163507462,16979200,0.0,0.0,1981-02-24,AAPL
1981-02-25 00:00:00-05:00,0.08734260499477386,0.08777496443446663,0.08734260499477386,0.08734260499477386,19488000,0.0,0.0,1981-02-25,AAPL
1981-02-26 00:00:00-05:00,0.08863969147205353,0.08907205669640937,0.08863969147205353,0.08863969147205353,10841600,0.0,0.0,1981-02-26,AAPL
1981-02-27 00:00:00-05:00,0.09166700392961502,0.09253172860171588,0.09166700392961502,0.09166700392961502,14761600,0.0,0.0,1981-02-27,AAPL
1981-03-02 00:00:00-05:00,0.0920993760228157,0.09253173550460583,0.0920993760228157,0.0920993760228157,11760000,0.0,0.0,1981-03-02,AAPL
1981-03-03 00:00:00-05:00,0.09123465481708845,0.09123465481708845,0.09080228954553604,0.09080228954553604,16172800,0.0,0.0,1981-03-03,AAPL
1981-03-04 00:00:00-05:00,0.09036910743861247,0.09036910743861247,0.0899367481470108,0.0899367481470108,13708800,0.0,0.0,1981-03-04,AAPL
1981-03-05 00:00:00-05:00,0.0899367410844859,0.0899367410844859,0.08950437605381012,0.08950437605381012,5376000,0.0,0.0,1981-03-05,AAPL
1981-03-06 00:00:00-05:00,0.08950441614773633,0.08950441614773633,0.08863969147205353,0.08863969147205353,11603200,0.0,0.0,1981-03-06,AAPL
1981-03-09 00:00:00-05:00,0.08215426884580837,0.08215426884580837,0.08172190934419632,0.08172190934419632,15321600,0.0,0.0,1981-03-09,AAPL
1981-03-10 00:00:00-05:00,0.07826220460611383,0.07826220460611383,0.07782984524965286,0.07782984524965286,28380800,0.0,0.0,1981-03-10,AAPL
1981-03-11 00:00:00-05:00,0.0756680170764509,0.0756680170764509,0.07480329275131226,0.07480329275131226,29859200,0.0,0.0,1981-03-11,AAPL
1981-03-12 00:00:00-05:00,0.07782984524965286,0.07826220460611383,0.07782984524965286,0.07782984524965286,59248000,0.0,0.0,1981-03-12,AAPL
1981-03-13 00:00:00-05:00,0.07739746780147817,0.07739746780147817,0.07696510851383209,0.07696510851383209,231302400,0.0,0.0,1981-03-13,AAPL
